filename,title,description,feature,topic,role,level
./help/c-intro/cmp-target-standard-cheatsheet.md,Where Can I Find Answers to My Optimization and Personalization Questions?,"Explore a list of frequently asked questions about using the features in Adobe Target, along with information and links for more information.",Overview,,,
./help/administrating-target/administrating-target.md,How Do I Administer Target?,"Set up Adobe Target, including preferences, implementation, user management, properties, Scene7 configuration, host management, and response tokens.",Administration & Configuration,,,
./help/administrating-target/start-target.md,Where Do I Get Started Administering Target?,Perform the first tasks Adobe Target administrators should take after receiving the emailed invitation to the Adobe Experience Cloud.,Administration & Configuration,,,
help/administrating-target/visual-experience-composer-set-up.md,How Do I Configure the Visual Experience Composer (VEC)?,"Learn how to configure the Adobe Target Visual Experience Composer (VEC) by specifying its general settings, mobile viewport configuration, and CSS selectors.",Administration & Configuration,,,
help/administrating-target/reporting.md,How Do I Configure Reporting in Target?,"Use Target or Adobe Analytics as the reporting source, specify the default time zone and currency format, add IP addresses to exclude from reporting, and more.",Administration & Configuration,,,
help/administrating-target/r-target-account-preferences/estimating-lift-in-revenue.md,What Do I Estimate Lift in Revenue?,"Estimate the lift you might achieve if every visitor sees the winning experience, if the trends continue as they have during the test.",Administration & Configuration,,,
./help/administrating-target/scene7-settings.md,How Do I Configure the Dynamic Media Classic (Scene7) Integration?,Learn how to integrate Adobe Target with Adobe Dynamic Media Classic (formerly Scene7) to provide Digital Asset Management (DAM) in the Content Library.,Administration & Configuration,,,
help/administrating-target/implementation.md,How Do Implement Target on My Site?,"Learn how to  implement Adobe Target on your site. Set your global settings, implementation method (AEP Web SDK or at.js), and more.",Administration & Configuration,,,
./help/administrating-target/hosts.md,What are Hosts and How Do I Use Them?,Learn how to organize your websites and pre-production environments for easy management and separated reporting in Adobe Target.,Administration & Configuration,,,
help/administrating-target/environments.md,What are Environments and How Do I Use Them?,Learn how to use environments in Adobe Target to organize your sites and pre-production environments for easy management and separated reporting.,Administration & Configuration,,,
./help/administrating-target/response-tokens.md,What are Response Tokens and How Do I Use Them?,Learn how to use response tokens in Adobe Target output specific information to use in debugging and integrating with 3rd-party systems (such as Clicktale).,Administration & Configuration,,,
./help/administrating-target/c-user-management/user-management.md,How Do I Configure User Management?,Learn how to manage users in Adobe Target Standard and manage enterprise properties and permissions in Adobe Target Premium.,Administration & Configuration,,,
./help/administrating-target/c-user-management/c-user-management/user-management.md,How Do I Add Users and Manage Permissions?,Learn how to use the Adobe Admin Console to manage users and their permissions and right in Adobe Target.,Administration & Configuration,,,
./help/administrating-target/c-user-management/c-user-management/troubleshooting-user-management.md,How Can I Troubleshoot Problems with User Management?,Troubleshooting information about managing users in Adobe Target.,Administration & Configuration,,,
./help/administrating-target/c-user-management/property-channel/property-channel.md,What Are Enterprise User Permissions and How Do I Use Them?,"Learn how to create separate workspaces (product profiles) and then assign users different roles and permissions for individual pages, properties, or web sites.",Administration & Configuration,,,
./help/administrating-target/c-user-management/property-channel/properties-overview.md,How Do I Configure Enterprise Permissions?,"Learn how to add users to Adobe Target; create workspaces, user groups, and properties; update your implementation; and specify roles and permissions.",Administration & Configuration,,,
./help/administrating-target/c-user-management/property-channel/configure-adobe-io-integration.md,How Do I Grant Adobe I/O Access to Workspaces and Assign Roles?,Learn how to grant existing Adobe I/O integrations access to all workspaces with the desired role in Adobe Target.,Administration & Configuration,,,
./help/c-implementing-target/implementing-target.md,How Do I Implement Target?,"Understand basic concepts, be familiar with how Target works and integrates with your infrastructure, and understand how visitors are tracked.",Implementation,,,
./help/c-implementing-target/c-considerations-before-you-implement-target/considerations-before-you-implement-target.md,What Should I Know Before Implementing?,Know the considerations you should address before implementing Adobe Target.,Implementation,,,
./help/c-implementing-target/c-considerations-before-you-implement-target/prepare-to-implement-target.md,How Should I Prepare to Implement Target?,Know the considerations you should address before implementing Adobe Target. Complete necessary tasks and gather information when preparing to implement Target.,Implementation,,,
./help/c-implementing-target/c-considerations-before-you-implement-target/c-privacy/privacy.md,How Does Target Handle Privacy Issues?,"Learn how Adobe Target complies with applicable data privacy laws including collection and handling of IP addresses, and opt-out instructions.",Privacy & Security,,,
./help/c-implementing-target/c-considerations-before-you-implement-target/c-privacy/cmp-privacy-and-general-data-protection-regulation.md,How Does Target Handle Privacy and Data Protection Regulations?,"Learn about Target and the European Union General Data Protection Regulation (GDPR), the California Consumer Privacy Act (CCPA), and other privacy requirements.",Privacy & Security,,,
./help/c-implementing-target/c-considerations-before-you-implement-target/c-privacy/cookie-deleting.md,How Do I Delete the Target Cookie?,Learn how to delete your Target browser cookies so that you can validate your experiences.,Privacy & Security,,,
./help/c-implementing-target/c-considerations-before-you-implement-target/c-privacy/google-chrome-samesite-cookie-policies.md,How Does Target Handle Google's Samesite Cookie Policies?,Discover how Adobe Target handles the SameSite IETF standard introduced with Google Chrome version 80 and what you need to do to comply with these policies.,Privacy & Security,,,
help/c-implementing-target/c-considerations-before-you-implement-target/c-privacy/apple-itp-2x.md,How Does Target Handle Apple ITP Support?,Learn about Adobe Target and the impact of the Apple Intelligent Tracking Prevention (ITP) initiative that seeks to protect Safari users' privacy.,Privacy & Security,,,
help/c-implementing-target/c-considerations-before-you-implement-target/c-privacy/content-security-policy.md,How Does Target Handle Content Security Policies (CSP)?,Learn about the Content Security Policy (CSP) directives you should add when using Adobe Target.,Privacy & Security,,,
help/c-implementing-target/c-considerations-before-you-implement-target/allowlist-edges.md,How Do I Allowlist Target Edge Nodes?,View a list of hosts to help you allowlist Adobe Target edges (geographically distributed serving nodes that ensure optimum response times end-users).,Privacy & Security,,,
./help/c-implementing-target/c-considerations-before-you-implement-target/c-methods-to-get-data-into-target/methods-to-get-data-into-target.md,How Do I Get Data into Target?,"Get data into Target (page parameters, profile attributes, script profile attributes, data providers, single and bulk profile update APIs, Customer Attributes).",Implementation,,,
./help/c-implementing-target/c-considerations-before-you-implement-target/c-methods-to-get-data-into-target/profile-api-settings.md,How Do I Use Profile API Settings to Enable or Disable Batch Updates?,Learn how to configure authentication for batch updates via Adobe Target APIs and generate a profile authentication token.,APIs/SDKs,,,
./help/c-implementing-target/c-considerations-before-you-implement-target/target-security-overview.md,How Does Target Handle Security of My Data?,Learn about the procedures Adobe uses to bolster the security of your data and Adobe Target experience. Download the Adobe Target Security Overview white paper.,Privacy & Security,,,
./help/c-implementing-target/c-considerations-before-you-implement-target/supported-browsers.md,What Browsers Does Target Support?,Learn which internet browsers Adobe Target supports for its interface and for content delivery.,Implementation,,,
./help/c-implementing-target/c-considerations-before-you-implement-target/tls-transport-layer-security-encryption.md,How Does Target Use TLS to Provide Security?,Learn how Target uses the TLS (Transport Layer Security) protocol to maintain the highest security standards and promote the safety of your customer data.,Privacy & Security,,,
./help/c-implementing-target/c-considerations-before-you-implement-target/implement-cname-support-in-target.md,How Do I Use CNAME in Target?,Work with Adobe Client Care to implement CNAME (Canonical Name) support in Adobe Target to handle ad-blocking issues or ITP-related cookie policies.,Privacy & Security,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/implement-target-for-client-side-web.md,How Do I Implement Target for Client-Side Web,Learn how to implement Adobe Target for client-side web using the Adobe Experience Platform Web SDK  (AEP Web SDK) or the Target at.js JavaScript library.,at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/aep-web-sdk.md,How Do I Implement with the Experience Platform Web SDK?,Learn how to use the Adobe Experience Platform Web SDK to interact with the various services in the Adobe Experience Cloud through the AEP Edge Network.,AEP Web SDK,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/c-how-atjs-works/how-atjs-works.md,How Does the at.js Javascript Library Work?,"Learn how the Target at.js JavaScript library functions, including system diagrams to help you understand the workflow as pages load.",at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/c-how-atjs-works/manage-flicker-with-atjs.md,How does at.js Manage Flicker?,Learn how at.js and Adobe Target prevent flicker (default content momentarily displays before being replaced by activity content) during page or app load.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/c-how-atjs-works/target-atjs-integrations.md,What Integrations Does at.js Support?,"See the integrations supported (and not supported) by Adobe Target at.js, including Analytics for Target (A4T), the Experience Cloud ID Service, and more.",at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/how-to-deployatjs/how-to-deployatjs.md,How Do I Deploy at.js?,Learn how to deploy the Adobe Target at.js JavaScript library using Adobe Experience Platform Launch or without a tag manager.,Implement Server-side,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/how-to-deployatjs/cmp-implementing-target-using-adobe-launch.md,How Do I Implement Target using Adobe Launch?,"Learn how to implement the Adobe Target at.js library using Adobe Experience Platform Launch, the preferred method to implement Adobe Target.",Implement Server-side,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/how-to-deployatjs/implementing-target-without-a-tag-manager.md,Can I Implement Target without a Tag Manager?,"Learn how to specify the settings (account details, implementation methods, etc.) to implement the Adobe Target at.js library without using a tag manager.",Implement Server-side,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/how-to-deployatjs/implementing-target-using-dynamic-tag-management.md,Can I Implement Target using Dynamic Tag Management (DTM)?,Learn how to implement the Adobe Target at.js library using the legacy Dynamic Tag Management (DTM). Adobe Launch is the preferred method to implement Target.,Implement Server-side,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/how-to-deployatjs/target-atjs-single-page-application.md,Can I implement Target for Single Page Applications (SPAs)?,Learn how to use Adobe Target at.js 2.x to implement Target for Single Page Applications (SPAs).,Implement Server-side,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/cmp-atjs-functions.md,What Functions Can I Use with at.js?,View a list of functions that can be used with the 1.x and 2.x versions of the at.js JavaScript library in Adobe Target.,at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/adobe-target-getoffer.md,How Do I Use the adobe.target.getOffer() Function?,Use the adobe.target.getOffer() function and its options for the Adobe Target at.js library to fire requests to get a Target offer.,at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/adobe-target-getoffers-atjs-2.md,How Do I Use the adobe.target.getOffers() Function?,Use the adobe.target.getOffers() function and its options for the Adobe Target at.js library to fire requests to get multiple Target offers. (at.js 2.x),at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/adobe-target-applyoffer.md,How Do I Use the adobe.target.applyOffer() Function?,Use the adobe.target.applyOffer() function for the Adobe Target at.js JavaScript library to apply the response content.,at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/adobe-target-applyoffers-atjs-2.md,How Do I Use the adobe.target.applyOffers()  Function?,Use the adobe.target.applyOffers() function for the Adobe Target at.js JavaScript library to apply multiple offers in the response. (at.js 2.x),at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/adobe-target-triggerview-atjs-2.md,How Do I Use the adobe.target.triggerView() Function?,Use the adobe.target.triggerView() function for the Adobe Target at.js JavaScript library for use in Single Page Applications (SPAs). (at.js 2.x),at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/adobe-target-trackevent.md,How Do I Use the adobe.target.trackEvent() Function?,"Use the adobe.target.trackEvent() function for the Adobe Target at.js JavaScript library to fire a request to report user actions, such as clicks and conversions on your site.",at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/mboxcreate-atjs.md,How Do I Use the mboxCreate() Function?,Use the mboxCreate() function for the Adobe Target at.js JavaScript library to apply offers to the closest DIV with the mboxDefault class name. (at.js 1.x),at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/targetgobalsettings.md,How Do I Use the targetGlobalSettings() Function?,Use the targetGlobalSettings() function for the Adobe Target at.js JavaScript library to override settings instead of using the Target UI or REST APIs.,at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/mboxdefine-mboxupdate-atjs-1x.md,How Do I Use the mboxDefine() And mboxUpdate() Functions?,Use the mboxDefine() and mboxUpdate() functions for the Adobe Target at.js JavaScript library to define or update an mbox. (at.js 1.x),at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/targetpageparams.md,How Do I Use the targetPageParams() Function?,Use the targetPageParams() function for the Adobe Target at.js JavaScript library to attach parameters to the global mbox from outside of the request code.,at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/targetpageparamsall.md,How Do I Use the targetPageParamsAll() Function?,Use the targetPageParamsAll() function for the Adobe Target at.js JavaScript library to attach parameters to all mboxes from outside of the request code.,at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/registerextension-atjs-1x.md,How Do I Use the registerExtension() Function?,Use the registerExtension() function for the Adobe Target at.js JavaScript library to register a specific extension. (at.js 1.x),at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/adobe.target.sendnotifications-atjs-21.md,How Do I Use the adobe.target.sendNotifications() Function?,Use adobe.target.sendNotifications() for at.js to send notifications to the Target edge when an experience is rendered not using applyOffer(s). (at.js.2.1 +),at.js,,,
help/c-implementing-target/c-implementing-target-for-client-side-web/atjs-custom-events.md,How Do I Use at.js Custom Events?,Use custom events for the Adobe Target at.js JavaScript library to be notified when an mbox request or offer fails or succeeds.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/c-target-debugging-atjs/target-debugging-atjs.md,How Do I Debug at.Js with Adobe Experience Cloud Debugger?,"Use the Adobe Experience Cloud Debugger to view your library configuration, examine requests, turn on console logging, disable Target call requests, and more.",at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/c-target-debugging-atjs/targeting-using-cloud-based-instances.md,Can I Use Target with Cloud-based Instances?,Explore issues (with solutions) customers face when using cloud-based instances to test Adobe Target or for proof-of-concept purposes.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/c-target-atjs-faq/target-atjs-faq.md,What Are Common Questions and Answers About at.js?,Read answers to frequently asked questions about the Adobe Target at.js JavaScript library.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/target-atjs-versions.md,What is Included in Each Version of at.js?,View the details about changes in each version of the Adobe Target at.js JavaScript library.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/upgrading-from-atjs-1x-to-atjs-20.md,How Do I Upgrade from at.js Version 1.x to Version 2.x?,"Learn how to upgrade from Adobe Target at.js 1.x to at.js 2.x. Examine system flow diagrams, learn about new and deprecated functions, and more.",at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/atjs-cookies.md,at.js Cookies,Details about how Adobe Target at.js 2.x and at.js 1.x handle cookies,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/mbox-download.md,How Do I Implement Target with mbox.js?,Learn about the legacy mbox.js implementation of Adobe Target. Migrate to the Adobe Experience Platform Web SDK (AEP Web SDK) or to the latest version of at.js.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/c-target-atjs-implementation/target-atjs-implementation.md,How Do I Migrate from mbox.js to at.js?,"Learn how to migrate to at.js, the new implementation library for Adobe Target designed for both typical web implementations and Single Page Applications (SPAs).",at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/c-target-atjs-implementation/target-migrate-atjs.md,How to Migrate to at.js from mbox.js,"Learn how to migrate to at.js, the new implementation library for Adobe Target designed for both typical web implementations and Single Page Applications (SPAs).",at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/c-target-atjs-implementation/target-atjs-limitations.md,What Are the Differences Between at.js and mbox.js?,Learn about the legacy mbox.js implementation of Adobe Target. Migrate to the Adobe Experience Platform Web SDK (AEP Web SDK) or to the latest version of at.js.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/c-target-atjs-implementation/target-atjs-plugins.md,What Legacy Plug-ins Are Not Supported in Target at.js?,Learn about the legacy mbox.js implementation of Adobe Target. Migrate to the Adobe Experience Platform Web SDK (AEP Web SDK) or to the latest version of at.js.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/c-target-atjs-implementation/target-test-atjs.md,How Do I Deploy at.js to a Non-Production Environment?,Learn about the legacy mbox.js implementation of Adobe Target. Migrate to the Adobe Experience Platform Web SDK (AEP Web SDK) or to the latest version of at.js.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/mbox-technical.md,What does the Target mbox.js Library Do?,Learn about the legacy mbox.js implementation of Adobe Target. Migrate to the Adobe Experience Platform Web SDK (AEP Web SDK) or to the latest version of at.js.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/advanced-mboxjs-settings.md,How Do I Configure the Target mbox.js library?,Learn about the legacy mbox.js implementation of Adobe Target. Migrate to the Adobe Experience Platform Web SDK (AEP Web SDK) or to the latest version of at.js.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/target-download-config-mbox.md,How Do I Download the Target mbox.js library?,Learn about the legacy mbox.js implementation of Adobe Target. Migrate to the Adobe Experience Platform Web SDK (AEP Web SDK) or to the latest version of at.js.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/call-responses-library-version.md,Which Page Methods Does mbox.js Use?,Learn about the legacy mbox.js implementation of Adobe Target. Migrate to the Adobe Experience Platform Web SDK (AEP Web SDK) or to the latest version of at.js.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/orderconfirm-create.md,How Do I Create an Order Confirmation mbox using mbox.js?,Learn about the legacy mbox.js implementation of Adobe Target. Migrate to the Adobe Experience Platform Web SDK (AEP Web SDK) or to the latest version of at.js.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/mboxjs-frequently-asked-questions.md,What Are Some Frequently Asked Questions about Target mbox.js?,Learn about the legacy mbox.js implementation of Adobe Target. Migrate to the Adobe Experience Platform Web SDK (AEP Web SDK) or to the latest version of at.js.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/mboxjs-functions.md,Which Functions does mbox.js support?,Learn about the legacy mbox.js implementation of Adobe Target. Migrate to the Adobe Experience Platform Web SDK (AEP Web SDK) or to the latest version of at.js.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/cookie-behavior.md,Where Can I Find Information About mbox.js Cookies?,Learn about the legacy mbox.js implementation of Adobe Target. Migrate to the Adobe Experience Platform Web SDK (AEP Web SDK) or to the latest version of at.js.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/mboxjs-change-log.md,What is Included in Each Version of mbox.js?,Learn about the legacy mbox.js implementation of Adobe Target. Migrate to the Adobe Experience Platform Web SDK (AEP Web SDK) or to the latest version of at.js.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/c-understanding-global-mbox/understanding-global-mbox.md,What Is a Global mbox?,"Learn about the global mbox in Adobe Target, a name used to refer to the single server call made at the top of each web page in your Target implementation.",at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/c-understanding-global-mbox/customize-global-mbox.md,How Do I Customize a Global mbox?,Learn how to customize a global mbox for at.js on the Administration-Implementation page in Adobe Target.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/c-understanding-global-mbox/mbox-global-target-standard.md,Can I Use a Global mbox from a Legacy Implementation?,Learn how to use a legacy global mbox for your Adobe Target activities if you have already created a global mbox on your pages for your legacy implementations.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/c-understanding-global-mbox/pass-parameters-to-global-mbox.md,How Do I Pass Parameters to a Global mbox?,Learn how to use the targetPageParams function to pass additional targeting or context information into the Adobe Target global mbox.,at.js,,,
./help/c-implementing-target/c-implementing-target-for-client-side-web/c-target-atjs-faq/global-mbox-frequently-asked-questions.md,What Are Frequently Asked Questions About the Global mbox?,Read frequently asked questions (FAQs) and answers about Adobe Target global mboxes.,at.js,,,
./help/c-target-mobile-app/target-mobile-app.md,Can I use Target with Mobile Apps?,"Learn how to use Adobe Target for mobile app optimization and personalization, with iterative testing and rules-based and AI-powered personalization.",Implement Mobile,,,
./help/c-target-mobile-app/mobile-how-target-works-mobile-apps.md,How Does Target Work in Mobile Apps?,Learn how to use the Adobe Mobile SDK to show the optimal experiences to your mobile app visitors.,Implement Mobile,,,
./help/c-target-mobile-app/mobile-enable-target-in-sdk.md,How Do I Enable Target in the Adobe Mobile SDK?,Learn how to add the Adobe Mobile Services SDK to your mobile app.,Implement Mobile,,,
./help/c-target-mobile-app/mobile-create-location-and-metric.md,How Do I Create Target Locations and Success Metrics in an iOS app?,View sample code to help you learn how to create locations and success metrics in iOS apps so you can use Adobe Target to personalize and optimize your app.,Implement Mobile,,,
./help/c-target-mobile-app/mobile-custom-user-data.md,How Do I Send Custom User Data in an iOS app?,Learn how to send additional information about the location or the user to Adobe Target as name-value pairs to help you build custom audiences.,Implement Mobile,,,
./help/c-target-mobile-app/mobile-send-activity-information-analytics.md,Can I Send Mobile App Activity Information to Analytics?,Learn how to send Adobe Target mobile app activity information to Adobe Analytics for post Ad Hoc segmentation.,Implement Mobile,,,
./help/c-target-mobile-app/target-mobile-preview.md,How Do I Use the Mobile Preview Link in Target Mobile?,Use mobile preview links to perform end-to-end QA for mobile app activities. You can enroll yourself into different experiences without special test devices.,Implement Mobile,,,
./help/c-target-mobile-app/prefetch-offer-content.md,Can I Prefetch Offer Content for Mobile Apps?,Use the Adobe Target prefetch feature in the iOS and Android Mobile SDKs to fetch offer content as few times as possible by caching the server responses.,Implement Mobile,,,
help/c-target-mobile-app/target-for-mobile-apps-faq.md,What Are Frequently Asked Questions About Target for Mobile Apps?,View frequently asked questions and their answers about Adobe Target for mobile apps.,Implement Mobile,,,
help/c-target-mobile-app/use-location-service.md,How do I Use the Adobe Location Service?,Learn how to use the Adobe Experience Platform Location Service to enable your mobile apps with location awareness.,Implement Mobile,,,
./help/c-implementing-target/c-api-and-sdk-overview/api-and-sdk-overview.md,Where Can I Learn About Target Server-Side Delivery APIs and SDKs?,"Learn about the Adobe Target server-side delivery APIs, SDKs, and Target Recommendations APIs.",Implement Server-side,,,
./help/c-implementing-target/c-api-and-sdk-overview/target-api-documentation.md,How Do I Transition From Legacy APIs to Adobe I/O?,Learn how to transition from the Adobe Target Classic legacy APIs to the new APIs on Adobe I/O.,Implement Server-side,,,
help/c-implementing-target/c-api-and-sdk-overview/on-device-decisioning.md,What is On-Device Decisioning?,Learn how to use on-device decisioning to cache your Target A/B and MVT activities on your server to perform in-memory decisioning at near-zero latency.,Implement Server-side,,,
help/c-implementing-target/hybrid-implementation.md,What Is A Hybrid Target Implementation?,"Learn about Adobe Target's unique hybrid deployment model for personalization, blending client-side and server-side implementations.",Implementation,,,
./help/c-implementing-target/c-non-javascript-based-implementation/non-javascript-based-implementation.md,How Do I Implement Target for Email?,"Learn how to implement Adobe Target in non-JavaScript scenarios, such as using an AdBox or Redirector.",Implement Email,,,
